Question,Answer
What is cloud computing?,"Cloud computing is the delivery of computing services—servers, storage, databases, networking, software—over the internet (""the cloud"") to offer faster innovation, flexible resources, and economies of scale."
What are the main types of cloud computing?,"There are three main types:

Public cloud (shared infrastructure, like AWS, Azure)
Private cloud (used by one organization)
Hybrid cloud (mix of both, connected systems)"
"What is the difference between public, private, and hybrid clouds?","Public: Services delivered over the internet, shared among users.
Private: Exclusive cloud environment for one organization, often on-premise.
Hybrid: Combines both, allowing data/app sharing between them."
"What are IaaS, PaaS, and SaaS?","IaaS (Infrastructure as a Service): Virtual machines, storage (e.g., AWS EC2).
PaaS (Platform as a Service): Tools for building apps without managing hardware (e.g., Google App Engine).
SaaS (Software as a Service): Applications accessed via browser (e.g., Google Workspace, Dropbox)."
What is the difference between cloud and traditional hosting?,"Cloud offers scalability, pay-as-you-go pricing, and automation. Traditional hosting is fixed-capacity, often less flexible and more manual."
Why should I use cloud services?,"For scalability, lower upfront costs, faster deployment, global access, and built-in security features."
Is cloud hosting secure?,"Yes, major providers offer strong security (encryption, compliance, IAM), but you must configure it correctly."
How does cloud hosting work?,Your apps and data are hosted on virtual servers in data centers and delivered via the internet.
What is virtualization in cloud computing?,"Virtualization allows multiple virtual machines to run on a single physical server, improving resource use and flexibility."
What is a data center?,"A facility with physical servers, networking, and storage infrastructure that powers cloud services."
What are the top cloud providers?,"Amazon Web Services (AWS), Microsoft Azure, and Google Cloud Platform (GCP)."
What is AWS?,"Amazon Web Services offers a broad range of cloud services including compute, storage, networking, databases, AI, and more."
What is Microsoft Azure?,"Azure is Microsoft's cloud platform providing infrastructure, analytics, AI, DevOps, and integration with Microsoft services."
What is Google Cloud Platform (GCP)?,"GCP provides scalable cloud infrastructure, machine learning, and analytics, with strong support for containers and AI."
"How do AWS, Azure, and GCP differ?","AWS has the most services and global reach. Azure integrates well with Microsoft products. GCP excels in AI, data, and Kubernetes."
Are there free tiers on cloud platforms?,"Yes. AWS, Azure, and GCP offer free tiers with limited usage for beginners and small projects."
Which cloud provider is best for startups?,GCP and AWS often provide credits for startups. GCP is developer-friendly; AWS has more services.
Can I switch between cloud providers?,"Yes, but it may require reconfiguration or migration tools due to differences in platforms."
Do cloud providers offer SLAs?,"Yes, most offer Service Level Agreements with uptime guarantees (e.g., 99.9%)."
How do I compare pricing between cloud providers?,"Use pricing calculators offered by AWS, Azure, and GCP. Consider instance type, storage, data transfer, etc."
What is cloud storage?,"A service where data is stored in the cloud and accessed over the internet (e.g., Amazon S3, Google Cloud Storage)."
What is a virtual machine (VM)?,A software emulation of a physical computer running in the cloud.
What is serverless computing?,"You write code and the cloud runs it automatically—no need to manage servers (e.g., AWS Lambda)."
What is Kubernetes?,"An open-source platform to automate deployment, scaling, and management of containerized applications."
What is a container in cloud computing?,"A lightweight, portable package of software that includes everything needed to run the application."
What is a managed database service?,"A cloud service where the provider handles database maintenance, backups, and scaling (e.g., Amazon RDS)."
What is cloud backup?,The process of storing copies of data in the cloud for recovery in case of failure or data loss.
What is a load balancer in the cloud?,Distributes traffic across multiple servers to ensure reliability and performance.
What is object storage?,"A storage system where data is stored as objects, ideal for unstructured data (e.g., images, backups)."
What is CDN (Content Delivery Network) in cloud hosting?,A network of servers that cache content globally to deliver it faster to users.
How is cloud hosting billed?,"Usually billed based on usage: compute time, storage, data transfer."
